PhraseId,SentenceId,Phrase,Sentiment,words_num
18674,819,paulin,2,1
15525,665,tri go,2,3
119919,6413,week live,2,4
17938,781,essenti collect bit,2,5
98852,5185,director fake backdrop state pace,1,11
33703,1582,regret,2,2
152547,8324,tremend chemistri,3,3
112239,5960,sequel,2,2
58522,2948,cushion predict narr rhythm,2,6
117390,6263,bad,0,3
139199,7545,unforgett stupid stunt uproari rude line dialogu rememb,1,16
28121,1291,baloney,1,1
129415,6958,none funni commentari cultur distinct american brit,1,10
49543,2426,real shock store unwari viewer,2,9
112875,5994,self esteem,2,2
72281,3694,love stepmom,2,5
45996,2237,chicken heart,1,3
52481,2597,italian pinocchio,3,2
129478,6962,n laugh,2,5
96292,5029,atmospher ballast shrug plot persnicketi problem,1,12
76951,3957,titl impli,3,3
147679,8036,opportun triumphantli sermon,2,5
145512,7910,shock mani unblink frank,3,7
50138,2462,closer two,2,3
6758,270,like,3,1
57385,2892,got aid,1,2
12703,547,present unflinch look one man downfal brought lack self awar,3,18
32994,1545,genr,2,3
38046,1809,uncompromis,3,1
24612,1120,carol kane,2,2
112529,5976,green tomato,2,2
73694,3769,feel,2,2
98385,5157,fish stori littl peculiar one thrown back river,0,20
94225,4917,end,2,3
68053,3452,liber,3,3
35753,1687,aloof,2,2
60803,3070,chaotic insan,1,2
128167,6896,hang broad mildli flesh charact seem conjur minut prior film,1,19
38080,1811,hard press think film cloyingli sappi evelyn year,1,18
140105,7601,violenc actual shock,2,4
50038,2455,plot conceit,2,3
10107,424,sad endear charact,3,4
144070,7819,low rent frame one,1,6
13240,570,,2,1
51191,2520,art hous core read lip genr curl crime stori reviv free wheel noir spirit old french cinema,3,24
115144,6133,ludicr enough,1,2
121891,6532,strictli middl road,2,5
136056,7350,film turn engross thriller almost spite,3,14
11454,493,captur raw comic energi one flamboy femal comic,3,13
110459,5851,drug dealer kidnap,2,4
8055,331,itch explor,3,4
33922,1593,everi joke repeat least four time,1,9
66370,3365,mcdonald,2,1
43278,2090,parent unit,2,4
59534,3002,right frame,2,3
47656,2323,sweet honest enjoy comedi drama,4,7
151405,8255,structur scene,2,3
15252,654,adam,2,1
94832,4946,ad disdain,1,2
64165,3246,rather poor imit,1,6
109482,5799,best thing,2,4
54172,2690,pure abstract term,2,3
119504,6389,garcia perfectli portray desper insecur man,2,13
2830,108,wisecrack mysteri scienc theater guy,2,7
35649,1679,categori x men occasion brilliant mostli averag show sign potenti sequel give us much time around,3,30
28896,1339,shock lack,1,2
86504,4480,glover irrepress eccentr river edg dead man back futur perfect cast role,4,24
91927,4783,disney great past,3,4
65367,3309,inabl dream aspir,2,6
143697,7799,probabl limit ld church member undemand armchair tourist,1,12
32463,1521,life alter experi,2,2
73066,3732,realli anoth major leagu,1,7
57946,2920,n make movi like use anymor,1,12
145534,7912,movi usual imposs stunt mani scene lean tough enough fit modern action movi,3,29
109724,5813,visibl boom mike,2,3
125457,6740,hypertim,3,3
128667,6920,feel good fiasco like antwon fisher emperor club time,3,13
146245,7952,chilli remot emot distant piec dull taglin space one hear snore,0,27
100516,5273,mawkish dialogu,1,3
65070,3292,unstint look collabor damag peopl may may qual,2,16
37886,1802,authent vagu ultim purposeless studi,1,9
53066,2632,plethora charact pictur,3,11
52735,2612,lrb gayton script rrb,2,5
56650,2846,open mouth screen,2,4
17128,743,land unintent melodrama tiresom love triangl,1,9
90249,4697,bigger name cast get full theatric releas,2,13
15763,676,calori,2,1
73223,3740,lyne latest erot thriller unfaith demonstr far storytel skill erod,1,20
91385,4753,succe mainli shoulder actor,3,9
70241,3576,thoroughli unreward,0,5
29520,1368,kind movi need watch thirti second say ah ye,2,26
40618,1944,yet permit laughter,3,3
150941,8228,also want littl alien friend,3,10
126145,6778,african american profession get overachiev,2,6
17312,752,good intent,3,3
57091,2876,godard use charact glorifi term art thing,1,17
152774,8337,keep evergreen exuber open express basic emot,3,16
143446,7786,woodi happen,1,5
30453,1414,almost first two third martin scorses minut gang new york entranc,3,19
148034,8057,verbal pretenti titl may,1,7
134005,7232,imag lack contrast murki frequent dark decipher,1,16
106840,5642,villain father,1,2
115199,6136,becom someth lame tri evad respons never ever leav larg dog alon toddler,1,30
112392,5969,satisfi summer blockbust worth look,3,10
80976,4173,sadli dull,1,4
58728,2960,far less,1,2
41454,1993,domin feel,2,2
155640,8518,fascin,3,3
38290,1822,proceed,2,3
26643,1222,addict,2,2
37057,1755,also drab inert,1,5
91153,4741,one word decasia,2,10
33942,1594,limit,2,1
40994,1965,cheaper action movi product,2,4
